Kata Dasar,Jenis Kata,Artinya,Contoh Kalimat,Arti kalimat
yaku,subjek,saya,yaku kan susum ,saya makan ikan
nanggu,kata keterangan,saya punya,nang potil,saya punya kelapa
taus,kata kerja,pergi,yaku taus balimang,saya pergi bekerja
aliling,kata kerja,balik,napa sosoisik yaku aliling,sebentar lagi saya akan kembali
tabe,kata keterangan,permisi,tabee ba lumpai,permisi melangkahi
sedih,kata sifat,malio lio,bula doyya yana malio lio?,apakah dia bersedih?
lalo,kata keterangan,suara,babakal komu lalo,besar suaramu
bituon,kata benda,bulan,bituon do mondok e,bulan itu bagus
olon,kata benda,jalan,asek lolonia e,bagus jalan ini
tobuy/tobun,kata benda,laut,dolom tobuy do,laut itusangat dalam
bungko,kata benda,gunung,napa ko taus doi bungko uno,sebentar kamu pergi ke gunung
bapelele,kata kerja,menjajakan,manpalele oila ko?,menjual apa kamu
dampas,kata kerja,lari,bulandokon ko kai ko dampas e,kenapa kamu lari
ampakon,kata kerja,jalan kaki,ampakon popoinyiak,hati hati di jalan
osoan,kata kerja,menikah,ko osoano dia?,kamu menikah dimana
bonua,kata benda,rumah,diyya komu bonua?,dimana rumahmu
asu,kata benda,anjing,,
babuy,kata benda,babi,,
bande,kata benda,monyet,,
boboinye,kata benda,perempuan,nde kom pau boboiye sambuno?,siapa anak perempuanmu?
mamalane,kata benda,laki laki,,
boloki,kata benda,istri,,
langkai,kata benda,suami,,
utus,kata keterangan,saudara,,
bakku,kata benda,ubi,,
loka,kata benda,pisang,nang kinan ko loka,saya makan pisang 
meeng,kata keterangan,satu,,
lua,kata keterangan,dua,,
tolu,kata keterangan,tiga,,
sangkap,kata keterangan,empat,,
lima,kata keterangan,lima,,
noom,kata keterangan,enam,,
pitu,kata keterangan,tujuh,,
pitu lobian,kata keterangan,delapan,,
sio,kata keterangan,sembilan ,,
songgulo,kata keterangan,sepuluh,,
nggoola,kata keterangan,bisa,,
moola,kata keterangan,boleh,,
maa,kata keterangan,karena,,
tobikon,kata keterangan,sebab,,
yode/ode,kata keterangan,iye,,
aki,kata keterangan,tidak,,
kokil,kata sifat,menangis,,
kokumbit,kata sifat,ketawa,,
tarais,kata kerja,teriak,,
sasa,kata benda,kucing,,
manuk,kata benda,ayam,,
mbolosukon,kata benda,durian,,
onsulang,kata kerja,duduk,,
pasalak,kata benda,sapu,,
mompul,kata kerja,memasak,,
nggalau,kata benda,telur,,
posiuk,kata benda,sendok,,
pinggan,kata benda,piring,,
balanga,kata benda,wajan,,
tobunan,kata benda,panci,,
bangkapi,kata benda,manusia,,
mian,kata benda,orang,,
temeneno,,tuhan/Allah,,
setan,kata benda,siing,,
noanggu,kata keterangan,perasaan,,
kanggio,kata kerja,pegang,,
ko,subjek,kamu,,
masadai,kata kerja,bertanya,,
maa'bi ma'si,kata keterangan,minta maaf,,
tomundo,kata benda,raja/penguasa,,
mbumbu,kata benda,nenek moyang,,
kapiten,kata benda,kapten,,
tina,kata benda,ibu,,
tama,kata benda,ayah,,
tawwa,kata benda,kakek,,
tammbu,kata benda,nenek,,
pau,kata benda,anak,,
tumbu,kata benda,cucu,,
tokon,kata benda,cece,,
laalambit,kata benda,cicit,,
sinoobi,kata benda,ipar,,
daok,kata benda,mertua,,
monianan,kata benda,menantu,,
memela,kata keterangan,merah,,
mosoni,kata keterangan,kuning,,
ijo,kata keterangan,hijau,,
mompok,kata keterangan,hitam,,
moute,kata keterangan,putih,,
tinataun,kata keterangan,terima kasih,,
bena,kata kerja,memberi,,
balibai,kata kerja,memanjat,,
babusoi,kata kerja,mencuci ,,
bokukum,kata benda,baju,,
salual,kata benda,celana,,
monas,kata keterangan,panas,,
memel,kata keterangan,dingin,,
lokis,kata keterangan,jahat,,
monodok,kata keterangan,baik,,
duangan,kata benda,perahu,,
popitoi,kata keterangan,menjaga,,
pit,kata keterangan,buta,,
ateno,kata keterangan,jantungan,,
limano,kata benda,tangan,,
begeno,kata benda,bahu,,
kombongo,kata benda,perut,,
tuulo,kata benda,lutut,,
aiino,kata benda,kaki,,
oloyo,kata keterangan,hari,,
modoa,kata keterangan,besok,,
mele,kata keterangan,asam,,
mosopot,kata keterangan,pahit,,
mamis,kata keterangan,manis,,
bulandokon,kata keterangan,kenapa,,
nyai/inai,kata keterangan,jangan,,
ompoliyo,kata kerja,cari,,
pakuli,kata benda,obat,,
mansai,kata keterangan,kumpul keluarga,,
mondongoli,kata keterangan,mendengar,,
subot,kata keterangan,muncul,,
lubato,kata keterangan,datang,,
lipu,kata benda,kampung,,
mansakai,kata kerja,menanam,,
labotan,kata benda,pasar,,
sumai,kata keterangan,kamari,,
loluk,kata keterangan,dulu,,
potil,kata benda,kelapa,,
oluno,kata benda,kepala,,
tolingaino,kata benda,telingan,,
ndemel,kata benda,makanan,,
papanas,kata benda,lauk,,
molou,kata sifat,haus,,
malal,kata sifat,lapar,,
tetean,kata benda,jembatan,,
tambongan,kata keterangan,cantik/ganteng,,
tolubang,kata keterangan,tumbang,,
tompolos,kata keterangan,terperosok,,
togong,kata benda,pulau,,
tomang,kata sifat,tidak waras,,
toik,kata benda,sarung,,
tongas,kata keterangan,melamun,,
tobok,kata kerja,tikam,,
tolibo,kata kerja,pergi ke kebun,,
tokolu,kata kerja,pulang dari kebun,,
tokoli,kata benda,kuah asam,,
tombing,kata keterangan,miring,,
totili,kata keterangan,menunggu,,
tombila,kata benda,pelepah sagu,,
tokita,kata keterangan,kelihatan,,
tompide,kata benda,tulang,,
tongkulung,kata benda,belanga,,
